fecha,temperatura_max,temperatura_min,humedad_relativa,precipitacion,velocidad_viento,direccion_viento,presion_atmosferica,radiacion_solar,nubosidad,temperatura_promedio,amplitud_termica,sensacion_termica,año,mes,dia_año,estacion,punto_rocio_aprox,dia_mes,dia_semana,nombre_dia,nombre_mes,tipo_dia_temp,intensidad_lluvia,intensidad_viento,precip_acum_7d,precip_acum_30d,temp_max_prom_7d,temp_min_prom_7d,humedad_prom_7d,sin_lluvia,dias_sin_lluvia_consecutivos,confort_termico,indice_estres_termico,necesidad_riego,riesgo_hongos,condiciones_aplicacion,confort_labores,grados_dia,grados_dia_acum,grados_dia_mes
2024-01-01,31.549251279550756,12.932032973217341,55.67492631829923,0.06597721568703342,7.757850259674253,E,1013.2236116419557,21.233867854206594,8.458772354018365,22.24064212638405,18.617218306333413,18.361716996546924,2024,1,1,Verano,7.199899829296915,1,0,Monday,January,Caluroso,Llovizna,Brisa ligera,,,,,,0,0,Óptimo,Medio,Media,Bajo,Desfavorables,Regular,12.24064212638405,12.24064212638405,12.24064212638405
2024-01-02,28.673698140148645,17.277799860675255,34.1549680619295,0.13584933955971823,8.829631000677999,S,1016.345496627742,18.675094269528685,89.7452276060881,22.975749000411952,11.39589827947339,18.560933500072952,2024,1,2,Verano,5.901227024217733,2,1,Tuesday,January,Caluroso,Llovizna,Brisa ligera,,,,,,0,0,Óptimo,Medio,Crítica,Bajo,Desfavorables,Bueno,12.975749000411952,25.216391126796,25.216391126796
2024-01-03,34.4185157249787,15.322947504952086,53.22886835147655,0.009328732970054031,10.398497760512445,E,998.8616211751154,23.898913265519152,53.24701740966612,24.870731614965393,19.09556822002661,19.671482734709173,2024,1,3,Verano,8.156231554976808,3,2,Wednesday,January,Muy Caluroso,Llovizna,Brisa ligera,,,,,,0,0,Bueno,Alto,Media,Bajo,Desfavorables,Regular,14.870731614965393,40.08712274176139,40.08712274176139
2024-01-04,40.0928804179211,17.175899723127294,25.225766776513428,0.01917210515635355,6.078519695692448,N,1001.3922139004713,14.062143652618401,50.30586349641779,28.634390070524198,22.916980694793807,25.595130222677973,2024,1,4,Verano,4.332752405923906,4,3,Thursday,January,Muy Caluroso,Llovizna,Brisa ligera,,,,,,0,0,Regular,Extremo,Crítica,Bajo,Desfavorables,Desfavorable,18.634390070524198,58.72151281228559,58.721512812285596
2024-01-05,31.776086440789662,11.512213327346359,69.28032137808162,0.44480541161413945,8.50518557742574,E,1006.2944294879238,13.243834306883532,79.72911048119816,21.64414988406801,20.263873113443303,17.39155709535514,2024,1,5,Verano,7.975698390915901,5,4,Friday,January,Caluroso,Llovizna,Brisa ligera,,,,,,0,0,Óptimo,Medio,Media,Bajo,Desfavorables,Regular,11.64414988406801,70.3656626963536,70.36566269635361
2024-01-06,30.109712125375726,16.144699714330123,52.19464457839933,0.38565433198716753,4.426129582136582,SW,1009.4510535638635,22.476605921215945,46.40644480107336,23.127205919852926,13.965012411045603,20.914141128784635,2024,1,6,Verano,8.426668634144459,6,5,Saturday,January,Caluroso,Llovizna,Calma,,,,,,0,0,Óptimo,Medio,Media,Bajo,Desfavorables,Regular,13.127205919852926,83.49286861620652,83.49286861620652
2024-01-07,38.540078212054354,15.838998628162516,49.86301034961088,0.000941922746405077,8.18805619066062,SW,1004.2310158020955,8.24978418451855,21.28299496237151,27.189538420108434,22.70107958389184,23.095510324778125,2024,1,7,Verano,7.897801525235401,7,6,Sunday,January,Muy Caluroso,Llovizna,Brisa ligera,1.0617290597208713,,33.59431747725985,15.172084533115854,48.517500830615795,0,0,Regular,Extremo,Alta,Bajo,Desfavorables,Desfavorable,17.189538420108434,100.68240703631496,100.68240703631497
2024-01-08,35.04718061837852,21.297913768870274,61.80107090058306,0.677314450898437,8.265940092194038,N,1012.7120367041821,18.553077057818925,0.0,28.172547193624396,13.749266849508246,24.03957714752738,2024,1,8,Verano,13.162338788644561,8,0,Monday,January,Muy Caluroso,Llovizna,Brisa ligera,1.673066294932275,,34.09402166852096,16.36721036106627,49.39266434237062,0,0,Regular,Extremo,Media,Bajo,Desfavorables,Desfavorable,18.172547193624396,118.85495422993935,118.85495422993935
2024-01-09,27.476436252985213,17.46847340230259,76.39877010022191,0.21763646865066316,13.166385817054909,SE,1009.690326658603,16.10064988642493,19.873565191414908,22.4724548276439,10.007962850682624,15.889261919116446,2024,1,9,Verano,13.345698834643567,9,1,Tuesday,January,Templado,Llovizna,Brisa ligera,1.7548534240232199,,33.922984256069036,16.394449438441605,55.427493204983826,0,0,Óptimo,Bajo,Baja,Medio,Desfavorables,Bueno,12.472454827643901,131.32740905758325,131.32740905758325
2024-01-10,33.65001296274555,24.878567113546776,68.81956230167395,0.22111316885386093,7.3130514155292605,E,1021.567161850717,9.565471616082265,77.63539001271155,29.264290038146164,8.771445849198773,25.607764330381535,2024,1,10,Verano,17.12132099447109,10,2,Wednesday,January,Muy Caluroso,Llovizna,Brisa ligera,1.9666378599070267,,33.81319814717859,17.75953795395513,57.65473519786917,0,0,Regular,Alto,Media,Bajo,Desfavorables,Regular,19.264290038146164,150.5916990957294,150.59169909572944
